"","Date","Vendite_1","Scontrini_1","Vendite_2","Scontrini_2","Vendite_3","Scontrini_3","Vendite_4","Scontrini_4","Vendite_5","Scontrini_5","Vendite_6","Scontrini_6","week_day"
"1",2017-01-01,7627.12,866,9409.06,911,0,0,0,0,4841.05,596,0,0,"Sunday"
"2",2017-01-02,6987.16,816,7403.93,735,0,0,2621.02,641,5388.64,706,0,0,"Monday"
"3",2017-01-03,6480.88,743,7213.36,723,0,0,2656.17,566,4973.78,697,0,0,"Tuesday"
"4",2017-01-04,6601.46,766,8322.75,853,0,0,2595.82,568,4911.55,661,0,0,"Wednesday"
"5",2017-01-05,8447.41,982,8188.21,799,0,0,2926.33,605,5622.54,755,0,0,"Thursday"
"6",2017-01-06,9517.55,1102,9748.52,958,0,0,2206.11,470,5678.27,746,0,0,"Friday"
"7",2017-01-07,12039.22,1454,10997.65,1038,0,0,3042.33,679,6081.64,829,0,0,"Saturday"
"8",2017-01-08,7616.86,825,8746.71,826,0,0,2305.7,440,4902.7,600,0,0,"Sunday"
"9",2017-01-09,3527.68,451,5039,557,0,0,2329.11,591,3832.03,560,0,0,"Monday"
"10",2017-01-10,3640.66,431,5381.41,598,0,0,2200.75,586,4060.69,547,0,0,"Tuesday"
"11",2017-01-11,6192.26,752,6668.44,684,0,0,2081.64,555,4080,577,0,0,"Wednesday"
"12",2017-01-12,4044.65,494,6373.49,658,0,0,2619.43,615,4297.46,572,0,0,"Thursday"
"13",2017-01-13,5656.47,683,9280.93,990,0,0,2632.01,636,6132.79,772,0,0,"Friday"
"14",2017-01-14,11810.73,1416,11756.57,1156,0,0,3397.14,723,7630.85,957,0,0,"Saturday"
"15",2017-01-15,9763.07,1034,8948.53,852,0,0,2440.25,509,6686.54,760,0,0,"Sunday"
"16",2017-01-16,3952.51,497,5855.32,660,0,0,2413.18,616,3752.97,555,0,0,"Monday"
"17",2017-01-17,3919.69,488,6023.32,652,0,0,2684.89,613,4204.77,625,0,0,"Tuesday"
"18",2017-01-18,4120.57,506,7013.96,777,0,0,2786.04,650,4237.49,586,0,0,"Wednesday"
"19",2017-01-19,4474.33,533,6653.01,697,0,0,2785.1,616,5435.47,734,0,0,"Thursday"
"20",2017-01-20,6031.1,731,9337.04,989,0,0,2805.89,628,6594.98,858,0,0,"Friday"
"21",2017-01-21,10923.73,1375,12009.36,1235,0,0,3752.62,791,8388.98,1042,0,0,"Saturday"
"22",2017-01-22,8071.33,908,9156.85,873,0,0,2471.06,507,6367.82,776,0,0,"Sunday"
"23",2017-01-23,3467.09,445,5046.37,580,0,0,2800.48,636,3649.74,552,0,0,"Monday"
"24",2017-01-24,3968.23,518,6302.41,689,0,0,2311.37,582,4247.98,597,0,0,"Tuesday"
"25",2017-01-25,4143.82,552,6427.15,692,0,0,2680.68,617,4092.26,604,0,0,"Wednesday"
"26",2017-01-26,3890.89,495,6773.76,755,0,0,2707.39,652,4901.71,664,0,0,"Thursday"
"27",2017-01-27,6224.46,773,8835.7,981,0,0,3074.69,705,6403.91,814,0,0,"Friday"
"28",2017-01-28,10845.25,1389,10909.84,1119,0,0,3346.97,744,8058.13,951,0,0,"Saturday"
"29",2017-01-29,7767.09,871,9295.4,871,0,0,2159.16,461,6651.06,785,0,0,"Sunday"
"30",2017-01-30,3854.85,482,5966.55,641,0,0,2341.69,588,3871.55,546,0,0,"Monday"
"31",2017-01-31,3926.68,477,5979.41,626,0,0,2430.98,591,4226.09,588,0,0,"Tuesday"
"32",2017-02-01,4537.3,546,6691.48,707,0,0,2448.84,591,4163.53,586,0,0,"Wednesday"
"33",2017-02-02,3646.42,443,6511.36,712,0,0,2318.91,612,4244.07,608,0,0,"Thursday"
"34",2017-02-03,5894.14,725,8763.48,984,0,0,2894.55,647,6141.3,816,0,0,"Friday"
"35",2017-02-04,10220.86,1333,11207.06,1131,0,0,3351.18,770,8544.03,1033,0,0,"Saturday"
"36",2017-02-05,6781.98,797,7988.86,795,0,0,2121.33,406,5852.81,692,0,0,"Sunday"
"37",2017-02-06,3415.47,437,5479.98,616,0,0,2497.51,688,3612.31,535,0,0,"Monday"
"38",2017-02-07,3728.62,464,6180.83,677,0,0,2336.6,621,3718.09,571,0,0,"Tuesday"
"39",2017-02-08,6487.24,816,6606.3,722,0,0,2797.34,683,4234.05,616,0,0,"Wednesday"
"40",2017-02-09,4097.64,524,6690.63,732,0,0,3083.39,692,4453.38,600,0,0,"Thursday"
"41",2017-02-10,5942.16,753,9930.13,1093,0,0,3545.97,704,6520.8,846,0,0,"Friday"
"42",2017-02-11,10253.45,1348,11491.89,1175,0,0,3412.86,779,7712.31,972,0,0,"Saturday"
"43",2017-02-12,7543.5,869,9507.82,916,0,0,2692.85,514,6340.8,733,0,0,"Sunday"
"44",2017-02-13,3998.09,499,5261.21,616,0,0,2753.55,670,3774.33,550,0,0,"Monday"
"45",2017-02-14,4863.42,585,6943.75,734,0,0,2817.72,645,5007.39,693,0,0,"Tuesday"
"46",2017-02-15,4550.11,567,6201.7,725,0,0,3044.89,693,4464.4,619,0,0,"Wednesday"
"47",2017-02-16,4070.75,533,6706.25,748,0,0,2496.98,626,4456.06,643,0,0,"Thursday"
"48",2017-02-17,5624.39,741,8851.41,1005,0,0,2711.26,655,6110.11,847,0,0,"Friday"
"49",2017-02-18,10026.92,1259,11341,1134,0,0,3499.17,789,8145.88,1083,0,0,"Saturday"
"50",2017-02-19,7852.23,863,9286.27,889,0,0,2818.62,569,6720.46,810,0,0,"Sunday"
"51",2017-02-20,3551,469,5403.32,639,0,0,2515.4,653,3639.63,572,0,0,"Monday"
"52",2017-02-21,3766.13,514,5710.68,667,0,0,2754.23,656,4181.88,618,0,0,"Tuesday"
"53",2017-02-22,3646.42,557,6483.67,744,0,0,3009.98,673,4178.84,617,0,0,"Wednesday"
"54",2017-02-23,3995.17,517,6467.24,732,0,0,2369.06,597,4827.18,698,0,0,"Thursday"
"55",2017-02-24,5290.64,669,8543.29,976,0,0,3134.82,730,6299.21,886,0,0,"Friday"
"56",2017-02-25,9718.05,1275,11357.02,1210,0,0,3484.04,745,7844.38,1027,0,0,"Saturday"
"57",2017-02-26,7810.37,918,9391.22,871,0,0,2442.5,533,6662.84,841,0,0,"Sunday"
"58",2017-02-27,6008.4,789,6012.91,677,0,0,2676.27,718,5062.6,684,0,0,"Monday"
"59",2017-02-28,4675.63,570,6888.06,814,0,0,2496.48,672,5004.8,733,0,0,"Tuesday"
"60",2017-03-01,4383.02,570,6808.34,788,0,0,3048.72,741,4302.65,645,0,0,"Wednesday"
"61",2017-03-02,4234.33,533,6312.61,686,0,0,2599.55,671,4947.22,687,0,0,"Thursday"
"62",2017-03-03,5350.82,678,8561.83,982,0,0,3276.31,767,5796.71,807,0,0,"Friday"
"63",2017-03-04,9892.02,1343,11226.14,1175,0,0,3774.53,769,7221.75,997,0,0,"Saturday"
"64",2017-03-05,8351.62,907,9090.88,911,0,0,2491.94,515,6263.74,780,0,0,"Sunday"
"65",2017-03-06,3314.2,460,5101.15,598,0,0,2797,771,4105.17,621,0,0,"Monday"
"66",2017-03-07,4039.78,541,5522.74,613,0,0,2656.03,701,3603.06,574,0,0,"Tuesday"
"67",2017-03-08,5953.39,778,7246.44,801,0,0,2934.38,697,5808.82,765,0,0,"Wednesday"
"68",2017-03-09,4000.17,532,5992.55,701,0,0,2683.78,677,4476.25,629,0,0,"Thursday"
"69",2017-03-10,5135.61,629,8748.37,955,0,0,3235.61,744,6535.71,899,0,0,"Friday"
"70",2017-03-11,10361.62,1375,11751.23,1217,0,0,3684.47,821,8380.94,1056,0,0,"Saturday"
"71",2017-03-12,6904.11,817,9169.53,864,0,0,2350.48,506,7334.42,894,0,0,"Sunday"
"72",2017-03-13,3594.52,485,5766.91,685,0,0,2487.28,699,3847.89,572,0,0,"Monday"
"73",2017-03-14,3491.56,485,5558.19,653,0,0,2484.42,645,4176.74,620,0,0,"Tuesday"
"74",2017-03-15,3968.18,476,6389.97,704,0,0,2827.88,716,4471.04,629,0,0,"Wednesday"
"75",2017-03-16,4412.08,569,7377.14,809,0,0,2691.55,677,4537.77,669,0,0,"Thursday"
"76",2017-03-17,6307.57,769,9481.2,1028,0,0,3265.55,767,6389.18,852,0,0,"Friday"
"77",2017-03-18,10641.38,1333,11774.89,1205,0,0,3987.55,779,7768.65,965,0,0,"Saturday"
"78",2017-03-19,7983.54,810,11241.28,1007,0,0,2675.29,541,6456.38,760,0,0,"Sunday"
"79",2017-03-20,3994.85,490,5943.43,662,0,0,2879.1,738,4016.23,608,0,0,"Monday"
"80",2017-03-21,4145.36,498,6091.05,712,0,0,2596.18,677,4501.69,630,0,0,"Tuesday"
"81",2017-03-22,4694.44,549,7167.36,770,0,0,2940.56,713,4688.98,653,0,0,"Wednesday"
"82",2017-03-23,4239.12,556,7249.78,781,0,0,2911.56,669,4630.94,657,0,0,"Thursday"
"83",2017-03-24,5775.16,738,9441.81,1012,0,0,3112.24,743,6668.7,865,0,0,"Friday"
"84",2017-03-25,11318.59,1379,12370.23,1215,0,0,3383.28,744,8951.5,1070,0,0,"Saturday"
"85",2017-03-26,8263.78,963,10601.24,995,0,0,2895.42,567,6909.74,810,0,0,"Sunday"
"86",2017-03-27,3928.07,482,6208.32,710,0,0,2878.15,713,4482.12,633,0,0,"Monday"
"87",2017-03-28,3812.66,530,6298.9,741,0,0,2535.41,666,4404.92,637,0,0,"Tuesday"
"88",2017-03-29,4311.77,542,6599.37,740,0,0,2562.13,653,4827.4,686,0,0,"Wednesday"
"89",2017-03-30,4240.97,549,6841.85,760,0,0,2208.31,603,4744.11,706,0,0,"Thursday"
"90",2017-03-31,5805.73,741,9391.53,1028,0,0,3016.94,695,6846.3,916,0,0,"Friday"
"91",2017-04-01,9430.83,1168,13029.88,1312,0,0,3628.62,848,8179.63,1014,0,0,"Saturday"
"92",2017-04-02,8466.25,969,9638.78,942,0,0,2619.08,570,6727.32,821,0,0,"Sunday"
"93",2017-04-03,3740.5,515,6104.27,684,0,0,2912.18,748,4108.16,657,0,0,"Monday"
"94",2017-04-04,4114.82,538,6306.11,677,0,0,2423.01,639,4157.14,634,0,0,"Tuesday"
"95",2017-04-05,4627.5,579,6810.79,755,0,0,2849.71,716,4614.3,694,0,0,"Wednesday"
"96",2017-04-06,4373.36,590,6530.4,760,0,0,2788.54,714,5044.62,735,0,0,"Thursday"
"97",2017-04-07,5974.98,732,9087.53,1016,0,0,2891.95,683,5950.38,821,0,0,"Friday"
"98",2017-04-08,9581.38,1195,13022.51,1287,0,0,3411.91,800,8539.84,1072,0,0,"Saturday"
"99",2017-04-09,7339.36,836,9424.94,919,0,0,2504.62,466,6254.87,757,0,0,"Sunday"
